category,city,fax,name,country,address2,address,brand,phone,state,postal_code,location,last_checked,location_geocells,image_url,id
2,Elk Grove Village,(847) 290-1129,Sheraton Suites Chicago Elk Grove,United States,,121 Northwest Point Boulevard,sheraton,(847) 290-1600,Illinois,60007,"42.037746,-87.981609",2010-09-24T08:03:25,"[u'9', u'9a', u'9a8', u'9a8b', u'9a8bb', u'9a8bb4', u'9a8bb4d', u'9a8bb4d7', u'9a8bb4d73', u'9a8bb4d73e', u'9a8bb4d73ed', u'9a8bb4d73ed7', u'9a8bb4d73ed7f']",http://www.starwoodhotels.com/pub/media/91/she91ex.67660_tn.jpg,91
3,Munich,(49)(89) 35751800,Four Points by Sheraton Munich Olympiapark,Germany,,Helene-Mayer-Ring 12,fourpoints,(49)(89) 357510,,80809,"48.18185,11.55312",2010-09-22T23:19:37,"[u'e', u'e0', u'e06', u'e060', u'e0608', u'e06085', u'e060853', u'e060853d', u'e060853d2', u'e060853d2e', u'e060853d2ed', u'e060853d2ed6', u'e060853d2ed6b']",http://www.starwoodhotels.com/pub/media/148/fpt148gr.39937_tn.jpg,148
3,Buenos Aires,(54)(11) 4322 9703,Sheraton Libertador Hotel,Argentina,,Avenida Cordoba 690,sheraton,(54)(11) 4321 0000,Buenos Aires,1054,"-34.5988234,-58.3766547",2010-09-22T14:01:22,"[u'3', u'31', u'31b', u'31bc', u'31bcb', u'31bcb5', u'31bcb5d', u'31bcb5d8', u'31bcb5d8f', u'31bcb5d8fb', u'31bcb5d8fb4', u'31bcb5d8fb4e', u'31bcb5d8fb4ee']",http://www.starwoodhotels.com/pub/media/1195/she1195cl.65693_tn.jpg,1195
4,Tucson,(520) 577-5878,The Westin La Paloma Resort & Spa,United States,,3800 East Sunrise Drive,westin,(520) 742-6000,Arizona,85718,"32.3116597,-110.9115338",2010-09-23T13:34:02,"[u'8', u'8d', u'8da', u'8da3', u'8da3a', u'8da3ae', u'8da3ae2', u'8da3ae21', u'8da3ae212', u'8da3ae2126', u'8da3ae21264', u'8da3ae212645', u'8da3ae212645f']",http://www.starwoodhotels.com/pub/media/1001/wes1001go.14729_tn.jpg,1001
3,Bangkok,(66)(2) 255 2441,"The Westin Grande Sukhumvit, Bangkok",Thailand,,259 Sukhumvit Road,westin,(66)(2) 207 8000,,10110,"13.7385283,100.5614498",2010-09-22T21:31:15,"[u'd', u'd2', u'd21', u'd21f', u'd21fc', u'd21fc0', u'd21fc08', u'd21fc08c', u'd21fc08c4', u'd21fc08c44', u'd21fc08c449', u'd21fc08c449f', u'd21fc08c449f8']",http://www.starwoodhotels.com/pub/media/1446/wes1446ex.82764_tn.jpg,1446
3,Kuala Lumpur,(60)(3) 2731 8000,The Westin Kuala Lumpur,Malaysia,,"199, Jalan Bukit Bintang",westin,(60)(3) 2731 8333,,55100,"3.1480718,101.7134253",2010-09-22T18:34:43,"[u'd', u'd0', u'd06', u'd060', u'd0603', u'd0603b', u'd0603b9', u'd0603b98', u'd0603b981', u'd0603b9819', u'd0603b9819f', u'd0603b9819f3', u'd0603b9819f38']",http://www.starwoodhotels.com/pub/media/1443/wes1443gr.38165_tn.jpg,1443
3,Garden Grove,(714) 703-8401,Sheraton Garden Grove - Anaheim South Hotel,United States,,12221 Harbor Boulevard,sheraton,(714) 703-8400,California,92840,"33.785454,-117.915507",2010-09-23T18:30:16,"[u'8', u'8e', u'8e5', u'8e50', u'8e500', u'8e5004', u'8e5004b', u'8e5004b4', u'8e5004b4a', u'8e5004b4ac', u'8e5004b4ac8', u'8e5004b4ac85', u'8e5004b4ac858']",http://www.starwoodhotels.com/pub/media/1552/she1552ex.65656_tn.jpg,1552
3,Rockville,(240) 912-8205,Sheraton Rockville Hotel,United States,,920 King Farm Boulevard,sheraton,(240) 912-8200,Maryland,20850,"39.109478,-77.183601",2010-09-24T08:07:26,"[u'9', u'9a', u'9a6', u'9a6b', u'9a6b8', u'9a6b83', u'9a6b83f', u'9a6b83fb', u'9a6b83fb2', u'9a6b83fb26', u'9a6b83fb261', u'9a6b83fb261f', u'9a6b83fb261f9']",http://www.starwoodhotels.com/pub/media/1589/she1589ex.39562_tn.jpg,1589
3,Rancho Cucamonga,(909) 484-6491,Aloft Ontario-Rancho Cucamonga,United States,,10480 Fourth Street,alofthotels,(909) 484-2018,California,91730,"34.077519,-117.578387",2010-09-23T20:26:48,"[u'8', u'8e', u'8e5', u'8e50', u'8e503', u'8e503e', u'8e503e2', u'8e503e2f', u'8e503e2f4', u'8e503e2f4a', u'8e503e2f4aa', u'8e503e2f4aac', u'8e503e2f4aaca']",http://www.starwoodhotels.com/pub/media/3071/alf3071ex.63385_tn.jpg,3071
3,San Antonio,(210) 354-2888,Four Points by Sheraton San Antonio Downtown by the Riverwalk,United States,,524 South St. Mary's Street,fourpoints,(210) 354-1333,Texas,78205,"29.420118,-98.490422",2010-09-23T09:12:37,"[u'8', u'8d', u'8dc', u'8dc3', u'8dc3f', u'8dc3f7', u'8dc3f73', u'8dc3f73e', u'8dc3f73e9', u'8dc3f73e91', u'8dc3f73e91d', u'8dc3f73e91d3', u'8dc3f73e91d3c']",http://www.starwoodhotels.com/pub/media/3282/fpt3282ex.78130_tn.jpg,3282
4,New Delhi,(91)(11) 4266 2112,Sheraton New Delhi Hotel,India,,"District Centre, Saket",sheraton,(91)(11) 4266 1122,New Delhi,110017,"28.52658,77.21616",2010-09-23T08:36:31,"[u'c', u'cd', u'cd9', u'cd94', u'cd94d', u'cd94d6', u'cd94d64', u'cd94d648', u'cd94d6485', u'cd94d6485a', u'cd94d6485a3', u'cd94d6485a33', u'cd94d6485a33f']",http://www.starwoodhotels.com/pub/media/1996/she1996ex.36134_tn.jpg,1996
4,Detroit,(313) 442-1605,The Westin Book Cadillac Detroit,United States,,1114 Washington Blvd,westin,(313) 442-1600,Michigan,48226,"42.331804,-83.050899",2010-09-24T08:11:26,"[u'9', u'9a', u'9ab', u'9ab0', u'9ab05', u'9ab05f', u'9ab05f2', u'9ab05f21', u'9ab05f218', u'9ab05f2180', u'9ab05f2180c', u'9ab05f2180cd', u'9ab05f2180cd4']",http://www.starwoodhotels.com/pub/media/3001/wes3001ex.72566_tn.jpg,3001
2,Shenzhen,(86)(755) 8359 2988,Four Points by Sheraton Shenzhen,China,Futian Free Trade Zone,5 Guihua Road,fourpoints,(86)(755) 8359 9999,Guangdong,518038,"22.5110968,114.0608687",2010-09-23T02:12:25,"[u'd', u'd9', u'd90', u'd901', u'd9010', u'd90101', u'd901017', u'd9010170', u'd90101700', u'd901017004', u'd9010170049', u'd90101700499', u'd901017004997']",http://www.starwoodhotels.com/pub/media/1489/fpt1489ex.77572_tn.jpg,1489
6,Kauai,(808) 826-1166,The St. Regis Princeville Resort,United States,P.O. Box 223069,"5520 Ka Haku Road, Princeville",stregis,(808) 826-9644,Hawaii,96722,"22.220973,-159.496939",2010-09-23T01:52:23,"[u'8', u'82', u'82f', u'82fe', u'82fec', u'82fec3', u'82fec39', u'82fec398', u'82fec3983', u'82fec3983d', u'82fec3983d9', u'82fec3983d95', u'82fec3983d95f']",http://www.starwoodhotels.com/pub/media/189/str189po.84141_tn.jpg,189
2,Wakefield,(781) 245-0842,Sheraton Colonial Boston North Hotel & Conference Center,United States,,One Audubon Road,sheraton,(781) 245-9300,Massachusetts,01880,"42.512038,-71.041913",2010-09-24T08:15:26,"[u'9', u'9a', u'9af', u'9af1', u'9af13', u'9af13f', u'9af13f6', u'9af13f6d', u'9af13f6d0', u'9af13f6d0d', u'9af13f6d0d9', u'9af13f6d0d96', u'9af13f6d0d965']",http://www.starwoodhotels.com/pub/media/232/she232ex.22023_tn.jpg,232
1,Huntsville,(256) 464-9116,Four Points by Sheraton Huntsville Airport,United States,P.O. Box 20068,1000 Glenn Hearn Boulevard,fourpoints,(256) 772-9661,Alabama,35824,"34.6489604,-86.7766154",2010-09-23T21:08:39,"[u'9', u'9a', u'9a0', u'9a06', u'9a063', u'9a0630', u'9a06306', u'9a06306e', u'9a06306e7', u'9a06306e70', u'9a06306e70f', u'9a06306e70f2', u'9a06306e70f24']",http://www.starwoodhotels.com/pub/media/879/fpt879ex.24987_tn.jpg,879
3,Langkawi,(60)(4) 952 8050,Sheraton Langkawi Beach Resort,Malaysia,,Teluk Nibong,sheraton,(60)(4) 952 8000,,07000,"6.3605556,99.7011111",2010-09-22T19:14:49,"[u'd', u'd0', u'd09', u'd096', u'd0965', u'd09654', u'd096549', u'd096549e', u'd096549ea', u'd096549ea0', u'd096549ea0e', u'd096549ea0e8', u'd096549ea0e8e']",http://www.starwoodhotels.com/pub/media/281/she281gr.87428_tn.jpg,281
3,Atlantic Beach,(252) 240-1452,Sheraton Atlantic Beach Oceanfront Hotel,United States,,2717 W. Fort Macon Road,sheraton,(252) 240-1155,North Carolina,28512,"34.6981658,-76.7745278",2010-09-23T21:20:42,"[u'9', u'9a', u'9a4', u'9a43', u'9a433', u'9a4336', u'9a43369', u'9a433697', u'9a4336974', u'9a4336974b', u'9a4336974b7', u'9a4336974b7f', u'9a4336974b7f6']",http://www.starwoodhotels.com/pub/media/677/she677ex.78562_tn.jpg,677
4,Pittsburgh,(412) 261-2932,Sheraton Station Square Hotel,United States,,300 W Station Square Dr,sheraton,(412) 261-2000,Pennsylvania,15219,"40.4368864,-80.0114098",2010-09-24T08:19:27,"[u'9', u'9a', u'9a9', u'9a97', u'9a978', u'9a9781', u'9a97814', u'9a97814c', u'9a97814c9', u'9a97814c93', u'9a97814c93f', u'9a97814c93fc', u'9a97814c93fca']",http://www.starwoodhotels.com/pub/media/693/na693ex3_tn.jpg,693
3,Thorold,(905) 984-6691,Four Points by Sheraton St. Catharines Niagara Suites,Canada,,3530 Schmon Parkway,fourpoints,(905) 984-8484,Ontario,L2V 4Y6,"43.117306,-79.2402315",2010-09-24T08:23:27,"[u'9', u'9a', u'9ab', u'9ab7', u'9ab76', u'9ab766', u'9ab7661', u'9ab7661c', u'9ab7661cd', u'9ab7661cd0', u'9ab7661cd08', u'9ab7661cd081', u'9ab7661cd0814']",http://www.starwoodhotels.com/pub/media/1355/fpt1355gr.29305_tn.jpg,1355
3,Minneapolis,(612) 455-8410,Aloft Minneapolis,United States,,900 Washington Avenue South,alofthotels,(612) 455-8400,Minnesota,55415,"44.976526,-93.2552125",2010-09-24T08:27:27,"[u'8', u'8f', u'8ff', u'8ffb', u'8ffbe', u'8ffbee', u'8ffbee7', u'8ffbee7f', u'8ffbee7f3', u'8ffbee7f3e', u'8ffbee7f3e6', u'8ffbee7f3e60', u'8ffbee7f3e600']",http://www.starwoodhotels.com/pub/media/3074/alf3074ex.71897_tn.jpg,3074
4,Mumbai,(91)(22) 2838 0101,Le Royal Méridien Mumbai,India,Andheri (East),Sahar Airport Road,lemeridien,(91)(22) 2838 0000,Maharashtra,400 099,"19.0951779,72.8533271",2010-09-22T23:07:36,"[u'c', u'c7', u'c78', u'c78f', u'c78f5', u'c78f58', u'c78f58d', u'c78f58d4', u'c78f58d46', u'c78f58d462', u'c78f58d4626', u'c78f58d4626f', u'c78f58d4626f8']",http://www.starwoodhotels.com/pub/media/1830/mer1830wn.59055_tn.jpg,1830
2,Agra,(91)(562) 2331730,"ITC Mughal, Agra",India,,Taj Ganj,luxury,(91)(562) 4021700,Uttar Pradesh,282001,"27.1595687,78.048075",2010-09-23T07:04:06,"[u'c', u'cd', u'cd3', u'cd3d', u'cd3dc', u'cd3dc8', u'cd3dc80', u'cd3dc800', u'cd3dc8002', u'cd3dc8002f', u'cd3dc8002fb', u'cd3dc8002fbf', u'cd3dc8002fbf7']",http://www.starwoodhotels.com/pub/media/422/she422ex.49102_tn.jpg,422
2,Harrisburg,(717) 561-8398,Four Points by Sheraton Harrisburg,United States,,800 East Park Drive,fourpoints,(717) 561-2800,Pennsylvania,17111,"40.273538,-76.814486",2010-09-24T08:31:28,"[u'9', u'9a', u'9ac', u'9ac3', u'9ac33', u'9ac334', u'9ac3342', u'9ac3342a', u'9ac3342a1', u'9ac3342a19', u'9ac3342a196', u'9ac3342a1963', u'9ac3342a1963b']",http://www.starwoodhotels.com/pub/media/788/fpt788ex.40393_tn.jpg,788
3,Rosemont,(847) 699-0391,Sheraton Gateway Suites Chicago O'Hare,United States,,6501 North Mannheim Road,sheraton,(847) 699-6300,Illinois,60018,"41.9966099,-87.8844369",2010-09-24T08:35:28,"[u'9', u'9a', u'9a8', u'9a8b', u'9a8bc', u'9a8bca', u'9a8bca8', u'9a8bca89', u'9a8bca892', u'9a8bca892e', u'9a8bca892ea', u'9a8bca892eaa', u'9a8bca892eaab']",http://www.starwoodhotels.com/pub/media/40/she40re.22986_tn.jpg,40
4,Brussels,(32)(2) 7108080,Sheraton Brussels Airport Hotel,Belgium,,Brussels National Airport,sheraton,(32)(2) 7108000,,1930,"50.899017,4.4858997",2010-09-24T08:39:29,"[u'e', u'e0', u'e08', u'e085', u'e0852', u'e0852d', u'e0852d0', u'e0852d0a', u'e0852d0ae', u'e0852d0ae4', u'e0852d0ae42', u'e0852d0ae424', u'e0852d0ae4240']",http://www.starwoodhotels.com/pub/media/295/she295ex.10505_tn.jpg,295
5,Ayrshire,(44)(1655) 331706,"Turnberry Resort, Scotland",United Kingdom,,Turnberry,luxury,(44)(1655) 331000,Scotland,KA26 9LT,"55.3119222,-4.8317552",2010-09-24T08:43:29,"[u'b', u'b5', u'b5f', u'b5f8', u'b5f8c', u'b5f8c9', u'b5f8c98', u'b5f8c988', u'b5f8c9883', u'b5f8c9883e', u'b5f8c9883e3', u'b5f8c9883e35', u'b5f8c9883e35f']",http://www.starwoodhotels.com/pub/media/1109/lux1109ex.81479_tn.jpg,1109
3,Charlotte,(704) 393-2207,Sheraton Charlotte Airport Hotel,United States,,3315 Scott Futrell Drive,sheraton,(704) 392-1200,North Carolina,28208,"35.237487,-80.921946",2010-09-23T23:00:57,"[u'9', u'9a', u'9a1', u'9a1c', u'9a1c1', u'9a1c17', u'9a1c17b', u'9a1c17b2', u'9a1c17b2c', u'9a1c17b2c3', u'9a1c17b2c34', u'9a1c17b2c34f', u'9a1c17b2c34ff']",http://www.starwoodhotels.com/pub/media/942/she942lo.73344_tn.jpg,942
3,San Antonio,(210) 227-3299,Sheraton Gunter Hotel San Antonio,United States,,205 East Houston Street,sheraton,(210) 227-3241,Texas,78205,"29.426862,-98.490995",2010-09-23T09:20:38,"[u'8', u'8d', u'8dc', u'8dc3', u'8dc3f', u'8dc3f7', u'8dc3f79', u'8dc3f796', u'8dc3f796b', u'8dc3f796ba', u'8dc3f796baa', u'8dc3f796baac', u'8dc3f796baac7']",http://www.starwoodhotels.com/pub/media/1291/she1291ex.36686_tn.jpg,1291
1,Lenggries,(49)(8042) 4224,Four Points by Sheraton Brauneck,Germany,,Muenchner Strasse 25,fourpoints,(49)(8042) 5020,,83661,"47.68625,11.57274",2010-09-24T08:47:30,"[u'e', u'e0', u'e04', u'e04a', u'e04aa', u'e04aa7', u'e04aa74', u'e04aa74c', u'e04aa74c5', u'e04aa74c50', u'e04aa74c508', u'e04aa74c5080', u'e04aa74c5080d']",http://www.starwoodhotels.com/pub/media/117/fpt117ex.7806_tn.jpg,117
5,Urayasu,(81)(47) 355 5566,Sheraton Grande Tokyo Bay Hotel,Japan,,1-9 Maihama,sheraton,(81)(47) 355 5555,Chiba,279-0031,"35.6326272,139.8854506",2010-09-24T01:10:17,"[u'd', u'de', u'de0', u'de0d', u'de0d9', u'de0d9d', u'de0d9de', u'de0d9de3', u'de0d9de33', u'de0d9de33b', u'de0d9de33b5', u'de0d9de33b56', u'de0d9de33b569']",http://www.starwoodhotels.com/pub/media/361/she361ex.69259_tn.jpg,361
4,Ottawa,(613) 234-5396,The Westin Ottawa,Canada,,11 Colonel By Drive,westin,(613) 560 7000,Ontario,K1N 9H4,"45.4251263,-75.6930209",2010-09-24T08:51:30,"[u'b', u'b0', u'b04', u'b044', u'b0448', u'b04486', u'b04486d', u'b04486d8', u'b04486d8e', u'b04486d8e0', u'b04486d8e08', u'b04486d8e081', u'b04486d8e081c']",http://www.starwoodhotels.com/pub/media/1083/wes1083gr.66750_tn.jpg,1083
4,Dubai,(971)(4) 3543111,Four Points by Sheraton Downtown Dubai,United Arab Emirates,Bur Dubai,"Mankhool Road, 4C Street",fourpoints,(971)(4) 3543333,,,"25.25,55.3",2010-09-23T04:46:44,"[u'c', u'cc', u'cc1', u'cc1f', u'cc1fb', u'cc1fb9', u'cc1fb98', u'cc1fb987', u'cc1fb9870', u'cc1fb9870a', u'cc1fb9870af', u'cc1fb9870afc', u'cc1fb9870afcd']",http://www.starwoodhotels.com/pub/media/3093/fpt3093ex.40943_tn.jpg,3093
3,Hayes,(44)(208) 7509150,Sheraton Skyline Hotel London Heathrow,United Kingdom,,"Heathrow Airport, Bath Road",sheraton,(44)(208) 7592535,England,UB3 5BP,"51.481175,-0.436792",2010-09-24T07:43:23,"[u'b', u'b5', u'b5d', u'b5d7', u'b5d74', u'b5d74f', u'b5d74f2', u'b5d74f2a', u'b5d74f2a9', u'b5d74f2a9f', u'b5d74f2a9fd', u'b5d74f2a9fd2', u'b5d74f2a9fd22']",http://www.starwoodhotels.com/pub/media/268/eu268ex3_tn.jpg,268
4,New Orleans,(504) 595-5552,Sheraton New Orleans Hotel,United States,,500 Canal Street,sheraton,(504) 525-2500,Louisiana,70130,"29.951872,-90.067726",2010-09-23T10:44:52,"[u'8', u'8d', u'8dd', u'8ddd', u'8dddd', u'8dddd7', u'8dddd78', u'8dddd787', u'8dddd7874', u'8dddd7874c', u'8dddd7874c6', u'8dddd7874c65', u'8dddd7874c65e']",http://www.starwoodhotels.com/pub/media/353/she353ex.88763_tn.jpg,353
3,Philadelphia,(215) 387-7920,Sheraton Philadelphia University City Hotel,United States,,3549 Chestnut Street,sheraton,(215) 387-8000,Pennsylvania,19104,"39.954622,-75.194077",2010-09-24T08:55:30,"[u'9', u'9a', u'9ac', u'9ac4', u'9ac4e', u'9ac4e2', u'9ac4e21', u'9ac4e21f', u'9ac4e21f1', u'9ac4e21f11', u'9ac4e21f119', u'9ac4e21f1194', u'9ac4e21f11948']",http://www.starwoodhotels.com/pub/media/992/she992ex.82286_tn.jpg,992
3,Macaé,(55)(22) 21062686,Four Points by Sheraton Macaé,Brazil,Bairro da Gloria,110 Rua Dolores Carvalho Vasconcelos,fourpoints,(55)(22) 21062700,Rio De Janeiro,27937-600,"-22.4015016,-41.7944967",2010-09-22T16:05:53,"[u'3', u'3c', u'3c0', u'3c04', u'3c041', u'3c0418', u'3c04181', u'3c04181f', u'3c04181fe', u'3c04181fe2', u'3c04181fe2e', u'3c04181fe2e5', u'3c04181fe2e59']",http://www.starwoodhotels.com/pub/media/1535/fpt1535ex.86098_tn.jpg,1535
4,Taipei,(886)(2) 8770 6555,The Westin Taipei,Taiwan,Section 3,133 Nanjing East Road,westin,(886)(2) 8770 6565,,104,"25.052689,121.555151",2010-09-23T04:30:43,"[u'd', u'd9', u'd91', u'd91e', u'd91e9', u'd91e9d', u'd91e9d0', u'd91e9d02', u'd91e9d023', u'd91e9d023d', u'd91e9d023d2', u'd91e9d023d2a', u'd91e9d023d2ae']",http://www.starwoodhotels.com/pub/media/1191/wes1191ex.35557_tn.jpg,1191
2,South San Francisco,(650) 553-9466,Four Points by Sheraton Hotel & Suites San Francisco Airport,United States,,264 South Airport Boulevard,fourpoints,(650) 624-3700,California,94080,"37.647363,-122.405908",2010-09-24T09:00:30,"[u'8', u'8e', u'8e6', u'8e62', u'8e62d', u'8e62d5', u'8e62d59', u'8e62d598', u'8e62d598e', u'8e62d598ee', u'8e62d598eef', u'8e62d598eef5', u'8e62d598eef58']",http://www.starwoodhotels.com/pub/media/1156/fpt1156ex.17197_tn.jpg,1156
