category,city,fax,added,last_checked,name,phone,country,address2,location_geocells,coord,id,last_refreshed,state,image_url,__scatter__,key,address,postal_code,brand,location
2,Elk Grove Village,(847) 290-1129,2010-08-20T06:48:48,2011-02-01T10:07:56,Sheraton Suites Chicago Elk Grove,(847) 290-1600,United States,,"[u'9', u'9a', u'9a8', u'9a8b', u'9a8bb', u'9a8bb4', u'9a8bb4d', u'9a8bb4d7', u'9a8bb4d73', u'9a8bb4d73e', u'9a8bb4d73ed', u'9a8bb4d73ed7', u'9a8bb4d73ed7f']",,91,2010-08-18T21:56:42,Illinois,http://www.starwoodhotels.com/pub/media/91/she91ex.67660_tn.jpg,,87040,121 Northwest Point Boulevard,60007,sheraton,"42.037746,-87.981609"
3,Munich,(49)(89) 35751800,2010-08-21T01:03:41,2011-02-24T22:45:07,Four Points by Sheraton Munich Olympiapark,(49)(89) 357510,Germany,,"[u'e', u'e0', u'e06', u'e060', u'e0608', u'e06085', u'e060853', u'e060853d', u'e060853d2', u'e060853d2e', u'e060853d2ed', u'e060853d2ed6', u'e060853d2ed6b']",,148,2010-08-19T16:10:03,,http://www.starwoodhotels.com/pub/media/148/fpt148gr.39937_tn.jpg,,87041,Helene-Mayer-Ring 12,80809,fourpoints,"48.18185,11.55312"
3,Buenos Aires,(54)(11) 4322 9703,2010-08-20T20:33:01,2011-02-19T04:43:12,Sheraton Libertador Hotel,(54)(11) 4321 0000,Argentina,,"[u'3', u'31', u'31b', u'31bc', u'31bcb', u'31bcb5', u'31bcb5d', u'31bcb5d8', u'31bcb5d8f', u'31bcb5d8fb', u'31bcb5d8fb4', u'31bcb5d8fb4e', u'31bcb5d8fb4ee']",,1195,2010-08-19T11:31:21,Buenos Aires,http://www.starwoodhotels.com/pub/media/1195/she1195cl.65693_tn.jpg,,87042,Avenida Cordoba 690,1054,sheraton,"-34.5988234,-58.3766547"
4,Tucson,(520) 577-5878,2010-08-21T08:03:48,2011-01-20T21:03:14,The Westin La Paloma Resort & Spa,(520) 742-6000,United States,,"[u'8', u'8d', u'8da', u'8da3', u'8da3a', u'8da3ae', u'8da3ae2', u'8da3ae21', u'8da3ae212', u'8da3ae2126', u'8da3ae21264', u'8da3ae212645', u'8da3ae212645f']",,1001,2010-08-19T23:13:17,Arizona,http://www.starwoodhotels.com/pub/media/1001/wes1001go.14729_tn.jpg,,87043,3800 East Sunrise Drive,85718,westin,"32.3116597,-110.9115338"
3,Bangkok,(66)(2) 255 2441,2010-08-21T00:11:34,2011-02-23T18:44:42,"The Westin Grande Sukhumvit, Bangkok",(66)(2) 207 8000,Thailand,,"[u'd', u'd2', u'd21', u'd21f', u'd21fc', u'd21fc0', u'd21fc08', u'd21fc08c', u'd21fc08c4', u'd21fc08c44', u'd21fc08c449', u'd21fc08c449f', u'd21fc08c449f8']",,1446,2010-08-19T15:11:56,,http://www.starwoodhotels.com/pub/media/1446/wes1446ex.82764_tn.jpg,,87044,259 Sukhumvit Road,10110,westin,"13.7385283,100.5614498"
3,Kuala Lumpur,(60)(3) 2731 8000,2010-08-20T22:45:23,2011-02-21T23:44:06,The Westin Kuala Lumpur,(60)(3) 2731 8333,Malaysia,,"[u'd', u'd0', u'd06', u'd060', u'd0603', u'd0603b', u'd0603b9', u'd0603b98', u'd0603b981', u'd0603b9819', u'd0603b9819f', u'd0603b9819f3', u'd0603b9819f38']",,1443,2010-08-19T13:45:38,,http://www.starwoodhotels.com/pub/media/1443/wes1443gr.38165_tn.jpg,,87045,"199, Jalan Bukit Bintang",55100,westin,"3.1480718,101.7134253"
3,Garden Grove,(714) 703-8401,2010-08-21T10:22:10,2011-01-23T19:03:47,Sheraton Garden Grove - Anaheim South Hotel,(714) 703-8400,United States,,"[u'8', u'8e', u'8e5', u'8e50', u'8e500', u'8e5004', u'8e5004b', u'8e5004b4', u'8e5004b4a', u'8e5004b4ac', u'8e5004b4ac8', u'8e5004b4ac85', u'8e5004b4ac858']",,1552,2010-08-20T01:31:40,California,http://www.starwoodhotels.com/pub/media/1552/she1552ex.65656_tn.jpg,,87046,12221 Harbor Boulevard,92840,sheraton,"33.785454,-117.915507"
3,Rockville,(240) 912-8205,2010-08-20T06:50:48,2011-02-01T11:07:57,Sheraton Rockville Hotel,(240) 912-8200,United States,,"[u'9', u'9a', u'9a6', u'9a6b', u'9a6b8', u'9a6b83', u'9a6b83f', u'9a6b83fb', u'9a6b83fb2', u'9a6b83fb26', u'9a6b83fb261', u'9a6b83fb261f', u'9a6b83fb261f9']",,1589,2010-08-18T21:58:42,Maryland,http://www.starwoodhotels.com/pub/media/1589/she1589ex.39562_tn.jpg,,87047,920 King Farm Boulevard,20850,sheraton,"39.109478,-77.183601"
3,Rancho Cucamonga,(909) 484-6491,2010-08-21T11:18:19,2011-01-24T23:03:59,Aloft Ontario-Rancho Cucamonga,(909) 484-2018,United States,,"[u'8', u'8e', u'8e5', u'8e50', u'8e503', u'8e503e', u'8e503e2', u'8e503e2f', u'8e503e2f4', u'8e503e2f4a', u'8e503e2f4aa', u'8e503e2f4aac', u'8e503e2f4aaca']",,3071,2010-08-20T02:27:52,California,http://www.starwoodhotels.com/pub/media/3071/alf3071ex.63385_tn.jpg,,87048,10480 Fourth Street,91730,alofthotels,"34.077519,-117.578387"
3,San Antonio,(210) 354-2888,2010-08-21T05:57:30,2011-03-03T00:47:01,Four Points by Sheraton San Antonio Downtown by the Riverwalk,(210) 354-1333,United States,,"[u'8', u'8d', u'8dc', u'8dc3', u'8dc3f', u'8dc3f7', u'8dc3f73', u'8dc3f73e', u'8dc3f73e9', u'8dc3f73e91', u'8dc3f73e91d', u'8dc3f73e91d3', u'8dc3f73e91d3c']",,3282,2010-08-19T21:06:57,Texas,http://www.starwoodhotels.com/pub/media/3282/fpt3282ex.78130_tn.jpg,,87049,524 South St. Mary's Street,78205,fourpoints,"29.420118,-98.490422"
